Main ID,Incident ID,Region,Incident Date,Year,Reported Month,Total Number of Dead and Missing,Cause of Death,Location of death,Information Source,Coordinates,Migrantion route,URL,UNSD Geographical Grouping,Source Quality
2015.MMP00041,2015.MMP00041,Mediterranean,"Sat, 02/07/2015 - 12:00",2015,February,9,Drowning,"Marmaris, en route to Rhodes",Menafn.com,"34.579, 12.4365",Eastern Mediterranean,"http://bit.ly/1zPaELI, https://archive.vn/EiCRT, https://archive.vn/pTnr0",Uncategorized,1
2015.MMP00071,2015.MMP00071,Mediterranean,"Tue, 03/17/2015 - 12:00",2015,March,8,Drowning,"Bodrum, Turkey, en route to Kos",IOM Turkey,"37.020073, 27.401316",Eastern Mediterranean,,Uncategorized,4
2015.MMP00091,2015.MMP00091,Mediterranean,"Mon, 04/06/2015 - 12:00",2015,April,11,Drowning,"Aegean Sea Mugla Bozburun, Yeşilova Gulf, Turkey, en route to Kos","APA news, Turkish Coast Guard Command","37.4667, 26.9667",Eastern Mediterranean,http://bit.ly/1c7Atzj,Uncategorized,5
2015.MMP00110,2015.MMP00110115,Mediterranean,"Mon, 04/20/2015 - 12:00",2015,April,2,Drowning,"Zephyros beach, Rhodes, Greece (right on coast)",Reuters and IOM Greece,"33.7123, 11.4474",Eastern Mediterranean,"http://reut.rs/1aJQdqM, http://bit.ly/1G3jtSr, http://bit.ly/1JagTQG, https://archive.vn/TPkG5",Uncategorized,4
2015.MMP00110,2015.MMP00110116,Mediterranean,"Mon, 04/20/2015 - 12:00",2015,April,1,Drowning,"Zephyros beach, Rhodes, Greece (right on coast)","Reuters and IOM Greece, Action Group for Palestinians of Syria","33.7123, 11.4474",Eastern Mediterranean,"http://reut.rs/1aJQdqM, http://bit.ly/1G3jtSr, http://bit.ly/1JagTQG",Uncategorized,4
2015.MMP00199,2015.MMP00199,Mediterranean,"Tue, 06/23/2015 - 12:00",2015,June,6,Drowning,"3.2 kilometers from the resort city of Bodrum, near Kara Ada, en route to Kos","Anadolu Agency and Today's Zaman, Action Group for Palestinian of Syria","37.0059, 27.4196",Eastern Mediterranean,"http://bit.ly/1IbWNVk, http://bit.ly/1CqKrm6",Uncategorized,3
2015.MMP00226,2015.MMP00226,Mediterranean,"Tue, 07/07/2015 - 12:00",2015,July,18,Drowning,Between the Greek islands of Farmakonisi and Agathonisi,IOM Greece - via Greek Authorities,"37.3511, 27.0371",Eastern Mediterranean,http://bit.ly/1NRPfY7,Uncategorized,5
2015.MMP00237,2015.MMP00237,Mediterranean,"Thu, 07/16/2015 - 12:00",2015,July,6,Drowning,"Off the coast of the province of Canakkale, northwestern Turkey, en route to Lesvos",IOM Greece,"39.2836, 26.5057",Eastern Mediterranean,"http://bit.ly/1gDj5op, https://archive.vn/GpmOw, https://archive.vn/pTnr0",Uncategorized,4
2015.MMP00303,2015.MMP00303,Mediterranean,"Mon, 08/17/2015 - 12:00",2015,August,1,Mixed or unknown,"at the foot of a cliff on coast of Kos, Greece",AFP,"36.89333, 27.288888",Eastern Mediterranean,http://bit.ly/20J8bjv,Uncategorized,1
2015.MMP00306,2015.MMP00306,Mediterranean,"Mon, 08/17/2015 - 12:00",2015,August,9,Drowning,Turkish waters (en route to Turkey from Lebanon) - non-island destination,Press Association,"36.10688204, 33.990881",Eastern Mediterranean,http://bit.ly/1hrnRpN,Uncategorized,1
2015.MMP00307,2015.MMP00307,Mediterranean,"Tue, 08/18/2015 - 12:00",2015,August,6,Drowning,Between Turkey and Kos,Associated Press,"36.9211826, 29.191935",Eastern Mediterranean,http://apne.ws/2sCkrGL,Uncategorized,1
2015.MMP00322,2015.MMP00322,Mediterranean,"Fri, 08/21/2015 - 12:00",2015,August,1,Mixed or unknown,Off the Coast of Lesvos,IOM Greece,"39.2836, 26.5057",Eastern Mediterranean,,Uncategorized,4
2015.MMP00328,2015.MMP00328,Mediterranean,"Mon, 08/24/2015 - 12:00",2015,August,6,Drowning,Off the coast of Lesvos,IOM Greece,"39.2836, 26.5057",Eastern Mediterranean,,Uncategorized,4
2015.MMP00329,2015.MMP00329,Mediterranean,"Mon, 08/24/2015 - 12:00",2015,August,1,Drowning,"Remains found on caoast of Lesvos, Greece",IOM Greece,"39.3700725, 25.453518",Eastern Mediterranean,,Uncategorized,4
2015.MMP00330,2015.MMP00330,Mediterranean,"Mon, 08/24/2015 - 12:00",2015,August,3,Drowning,Between Turkey and Lesvos,AP,"39.344441, 26.557274",Eastern Mediterranean,http://bit.ly/1O13lr2,Uncategorized,1
2015.MMP00346,2015.MMP00346,Mediterranean,"Sat, 08/29/2015 - 12:00",2015,August,1,Violence,"Off the coast of Symi, Greece",IOM Greece,"37.7548, 26.9778",Eastern Mediterranean,,Uncategorized,4
2015.MMP00349,2015.MMP00349,Mediterranean,"Mon, 08/31/2015 - 12:00",2015,August,1,Sickness / lack of access to adequate healthcare,"Mobile Unit of the First Reception Service in Moria, Lesvos",IOM Greece,"39.1756491, 25.943523",Eastern Mediterranean,,Uncategorized,4
2015.MMP00363,2015.MMP00363,Mediterranean,"Wed, 09/02/2015 - 12:00",2015,September,1,Mixed or unknown,off the coast of Chios,IOM Athens,"38.406249, 26.246271",Eastern Mediterranean,,Uncategorized,4
2015.MMP00364,2015.MMP00364,Mediterranean,"Wed, 09/02/2015 - 12:00",2015,September,1,Mixed or unknown,Off the coast of Lesvos,IOM Athens,"39.2836, 26.5057",Eastern Mediterranean,,Uncategorized,4
2015.MMP00365,2015.MMP00365,Mediterranean,"Wed, 09/02/2015 - 12:00",2015,September,5,Drowning,"Bodrum district of Muğla province (02:06h), en route to Kos",IOM Turkey,"37.2028822, 28.311496",Eastern Mediterranean,,Uncategorized,4
2015.MMP00366,2015.MMP00366389,Mediterranean,"Wed, 09/02/2015 - 12:00",2015,September,10,Drowning,"Bodrum district of Muğla province (04:13h), en route to Kos",IOM Turkey,"37.2028822, 28.311496",Eastern Mediterranean,,Uncategorized,4
2015.MMP00366,2015.MMP00366390,Mediterranean,"Wed, 09/02/2015 - 12:00",2015,September,0,Drowning,"Bodrum district of Muğla province (04:13h), en route to Kos",IOM Turkey,"37.2028822, 28.311496",Eastern Mediterranean,,Uncategorized,4
2015.MMP00366,2015.MMP00366391,Mediterranean,"Wed, 09/02/2015 - 12:00",2015,September,0,Drowning,"Bodrum district of Muğla province (04:13h), en route to Kos",IOM Turkey,"37.2028822, 28.311496",Eastern Mediterranean,,Uncategorized,4
2015.MMP00366,2015.MMP00366392,Mediterranean,"Wed, 09/02/2015 - 12:00",2015,September,0,Drowning,"Bodrum district of Muğla province (04:13h), en route to Kos",IOM Turkey,"37.2028822, 28.311496",Eastern Mediterranean,,Uncategorized,4
2015.MMP00372,2015.MMP00372,Mediterranean,"Sat, 09/05/2015 - 12:00",2015,September,1,Drowning,Just off the coast of Agathosini,IOM Greece,"37.4653473, 26.932666",Eastern Mediterranean,,Uncategorized,4
2015.MMP00387,2015.MMP00387413,Mediterranean,"Sat, 09/12/2015 - 12:00",2015,September,3,Drowning,Off the coast of Samos,IOM Athens,"36.949998, 26.983329",Eastern Mediterranean,,Uncategorized,4
2015.MMP00387,2015.MMP00387414,Mediterranean,"Sat, 09/12/2015 - 12:00",2015,September,1,Drowning,Off the coast of Samos,IOM Athens,"36.949998, 26.983329",Eastern Mediterranean,,Uncategorized,4
2015.MMP00390,2015.MMP00390,Mediterranean,"Sat, 09/12/2015 - 12:00",2015,September,1,Drowning,Off the coast of Lesvos,IOM Athens and Associated Press,"39.2836, 26.5057",Eastern Mediterranean,http://nbcnews.to/1glnDiw,Uncategorized,4
2015.MMP00392,2015.MMP00392,Mediterranean,"Sun, 09/13/2015 - 12:00",2015,September,38,Drowning,Near Farmakonisi,"Reuters and Associated Press, also IOM Athens","37.2948, 27.1199",Eastern Mediterranean,http://nbcnews.to/1glnDiw,Uncategorized,4
2015.MMP00393,2015.MMP00393,Mediterranean,"Mon, 09/14/2015 - 12:00",2015,September,2,Drowning,"Off the coast of Izmir’s Seferihisar district, en route to Samos",Hurriyet Daily News,"38.022701, 27.067593",Eastern Mediterranean,http://bit.ly/1OT7Gfr,Uncategorized,1
2015.MMP00394,2015.MMP00394,Mediterranean,"Tue, 09/15/2015 - 12:00",2015,September,22,Drowning,Off the coast of Turkey’s southwestern Datça district. En route to Kos,RTE News and IOM Turkey from Turkish Coast Guard,"34.8657, 12.6049",Eastern Mediterranean,"http://bit.ly/1OT7Gfr, http://bit.ly/1M8cSf1",Uncategorized,4
2015.MMP00400,2015.MMP00400,Mediterranean,"Fri, 09/18/2015 - 12:00",2015,September,1,Drowning,"Altinkoy region in Izmir province's Cesme district, en route to Chios",Anadolu Agency,"38.328609, 26.293587",Eastern Mediterranean,http://bit.ly/1V0eQFF,Uncategorized,1
2015.MMP00405,2015.MMP00405,Mediterranean,"Sat, 09/19/2015 - 12:00",2015,September,13,Drowning,Off the coast of Lesvos,IOM Greece,"39.2836, 26.5057",Eastern Mediterranean,,Uncategorized,4
2015.MMP00422,2015.MMP00422,Mediterranean,"Sun, 09/20/2015 - 12:00",2015,September,26,Drowning,"Canakkale/Babakale, Turkey, en route to Lesvos",Coast Guard Command,"39.445562, 26.042874",Eastern Mediterranean,http://bit.ly/1QYO7Ug,Uncategorized,5
2015.MMP00423,2015.MMP00423,Mediterranean,"Sun, 09/20/2015 - 12:00",2015,September,26,Drowning,Off the coast of Lesvos,IOM Greece,"39.2836, 26.5057",Eastern Mediterranean,,Uncategorized,4
2015.MMP00424,2015.MMP00424,Mediterranean,"Sun, 09/20/2015 - 12:00",2015,September,2,Drowning,"Balıkesir province Ayvalık Altınova, en route to Lesvos",Coast Guard Command,"39.2357, 26.665",Eastern Mediterranean,,Uncategorized,5
2015.MMP00429,2015.MMP00429,Mediterranean,"Tue, 09/22/2015 - 12:00",2015,September,2,Drowning,"off the coast of Lesvos, Greece",AP,"39.2836, 26.5057",Eastern Mediterranean,http://bit.ly/1Pzrg2j,Uncategorized,1
2015.MMP00430,2015.MMP00430,Mediterranean,"Tue, 09/22/2015 - 12:00",2015,September,1,Drowning,Off the coast of Lesvos,AFP,"39.2836, 26.5057",Eastern Mediterranean,http://bit.ly/1KAhgke,Uncategorized,1
2015.MMP00433,2015.MMP00433,Mediterranean,"Wed, 09/23/2015 - 12:00",2015,September,1,Drowning,body found by a fisherman at Mithimna port in Lesvos,IOM Greece,"39.3671, 26.1751",Eastern Mediterranean,,Uncategorized,4
